date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,zipcode,sqft_living15,sqft_lot15,price_per_sqft,age,renovated
2014-10-13,221900.0,3,1.0,1180,5650,1.0,0,0,3,7,1180,0,1955,98178,1340,5650,188.05084745762713,69,0
2014-12-09,538000.0,3,2.25,2570,7242,2.0,0,0,3,7,2170,400,1951,98125,1690,7639,209.3385214007782,73,1
2015-02-25,180000.0,2,1.0,770,10000,1.0,0,0,3,6,770,0,1933,98028,2720,8062,233.76623376623377,91,0
2014-12-09,604000.0,4,3.0,1960,5000,1.0,0,0,5,7,1050,910,1965,98136,1360,5000,308.16326530612247,59,0
2015-02-18,510000.0,3,2.0,1680,8080,1.0,0,0,3,8,1680,0,1987,98074,1800,7503,303.57142857142856,37,0
2014-05-12,1225000.0,4,4.5,5420,101930,1.0,0,0,3,11,3890,1530,2001,98053,4760,101930,226.01476014760146,23,0
2014-06-27,257500.0,3,2.25,1715,6819,2.0,0,0,3,7,1715,0,1995,98003,2238,6819,150.14577259475217,29,0
2015-01-15,291850.0,3,1.5,1060,9711,1.0,0,0,3,7,1060,0,1963,98198,1650,9711,275.3301886792453,61,0
2015-04-15,229500.0,3,1.0,1780,7470,1.0,0,0,3,7,1050,730,1960,98146,1780,8113,128.93258426966293,64,0
2015-03-12,323000.0,3,2.5,1890,6560,2.0,0,0,3,7,1890,0,2003,98038,2390,7570,170.8994708994709,21,0
2015-04-03,662500.0,3,2.5,3560,9796,1.0,0,0,3,8,1860,1700,1965,98007,2210,8925,186.09550561797752,59,0
2014-05-27,468000.0,2,1.0,1160,6000,1.0,0,0,4,7,860,300,1942,98115,1330,6000,403.44827586206895,82,0
2014-05-28,310000.0,3,1.0,1430,19901,1.5,0,0,4,7,1430,0,1927,98028,1780,12697,216.78321678321677,97,0
2014-10-07,400000.0,3,1.75,1370,9680,1.0,0,0,4,7,1370,0,1977,98074,1370,10208,291.97080291970804,47,0
2015-03-12,530000.0,5,2.0,1810,4850,1.5,0,0,3,7,1810,0,1900,98107,1360,4850,292.81767955801104,124,0
2015-01-24,650000.0,4,3.0,2950,5000,2.0,0,3,3,9,1980,970,1979,98126,2140,4000,220.33898305084745,45,0
2014-07-31,395000.0,3,2.0,1890,14040,2.0,0,0,3,7,1890,0,1994,98019,1890,14018,208.994708994709,30,0
2014-05-29,485000.0,4,1.0,1600,4300,1.5,0,0,4,7,1600,0,1916,98103,1610,4300,303.125,108,0
2014-12-05,189000.0,2,1.0,1200,9850,1.0,0,0,4,7,1200,0,1921,98002,1060,5095,157.5,103,0
2015-04-24,230000.0,3,1.0,1250,9774,1.0,0,0,4,7,1250,0,1969,98003,1280,8850,184.0,55,0
2014-05-14,385000.0,4,1.75,1620,4980,1.0,0,0,4,7,860,760,1947,98133,1400,4980,237.65432098765433,77,0
2014-08-26,2000000.0,3,2.75,3050,44867,1.0,0,4,3,9,2330,720,1968,98040,4110,20336,655.7377049180328,56,0
2014-07-03,285000.0,5,2.5,2270,6300,2.0,0,0,3,8,2270,0,1995,98092,2240,7005,125.55066079295155,29,0
2014-05-16,252700.0,2,1.5,1070,9643,1.0,0,0,3,7,1070,0,1985,98030,1220,8386,236.16822429906543,39,0
2014-11-20,329000.0,3,2.25,2450,6500,2.0,0,0,4,8,2450,0,1985,98030,2200,6865,134.28571428571428,39,0
2014-11-03,233000.0,3,2.0,1710,4697,1.5,0,0,5,6,1710,0,1941,98002,1030,4705,136.25730994152048,83,0
2014-06-26,937000.0,3,1.75,2450,2691,2.0,0,0,3,8,1750,700,1915,98119,1760,3573,382.44897959183675,109,0
2014-12-01,667000.0,3,1.0,1400,1581,1.5,0,0,5,8,1400,0,1909,98112,1860,3861,476.42857142857144,115,0
2014-06-24,438000.0,3,1.75,1520,6380,1.0,0,0,3,7,790,730,1948,98115,1520,6235,288.1578947368421,76,0
2015-03-02,719000.0,4,2.5,2570,7173,2.0,0,0,3,8,2570,0,2005,98052,2630,6026,279.76653696498056,19,0
2014-11-10,580500.0,3,2.5,2320,3980,2.0,0,0,3,8,2320,0,2003,98027,2580,3980,250.2155172413793,21,0
